alphaEarly,placementHitMultiplier,adjHitBonus,mcBlendRatio,games,threads,p1_avg_shots,p2_avg_shots
0.850,1.500,0.200,0.500,1000,16,49.523,49.614
0.850,1.500,0.200,0.600,1000,16,48.608,48.992
0.850,1.500,0.200,0.700,1000,16,45.584,45.349
0.850,1.500,0.300,0.300,1000,16,42.308,42.369
0.850,1.500,0.300,0.400,1000,16,50.518,50.626
0.850,1.500,0.300,0.500,1000,16,51.355,51.291
0.850,1.500,0.300,0.600,1000,16,45.807,45.563
0.850,1.500,0.300,0.700,1000,16,44.217,43.900
0.850,1.500,0.400,0.300,1000,16,51.429,51.308
0.850,1.500,0.400,0.400,1000,16,47.103,47.121
0.850,1.500,0.400,0.500,1000,16,46.358,46.360
0.850,1.500,0.400,0.600,1000,16,47.064,47.213
0.850,1.500,0.400,0.700,1000,16,48.021,47.810
0.850,1.500,0.500,0.300,1000,16,46.811,46.674
0.850,1.500,0.500,0.400,1000,16,44.774,44.530
0.850,1.500,0.500,0.500,1000,16,50.497,50.466
0.850,1.500,0.500,0.600,1000,16,47.101,46.952
0.850,1.500,0.500,0.700,1000,16,47.179,47.438
0.850,1.500,0.600,0.300,1000,16,49.088,49.295
0.850,1.500,0.600,0.400,1000,16,53.836,53.918
0.850,1.500,0.600,0.500,1000,16,50.654,50.650
0.850,1.500,0.600,0.600,1000,16,48.054,47.876
0.850,1.500,0.600,0.700,1000,16,45.679,45.352
0.850,1.750,0.200,0.300,1000,16,44.129,44.264
0.850,1.750,0.200,0.400,1000,16,47.288,47.355
0.850,1.750,0.200,0.500,1000,16,48.788,48.679
0.850,1.750,0.200,0.600,1000,16,44.143,44.235
0.850,1.750,0.200,0.700,1000,16,44.955,44.996
0.850,1.750,0.300,0.300,1000,16,45.854,46.130
0.850,1.750,0.300,0.400,1000,16,44.136,44.106
0.850,1.750,0.300,0.500,1000,16,47.253,47.728
0.850,1.750,0.300,0.600,1000,16,48.146,48.476
0.850,1.750,0.300,0.700,1000,16,41.266,41.062
0.850,1.750,0.400,0.300,1000,16,47.362,47.285
0.850,1.750,0.400,0.400,1000,16,46.192,46.086
0.850,1.750,0.400,0.500,1000,16,48.483,48.138
0.850,1.750,0.400,0.600,1000,16,49.609,49.743
0.850,1.750,0.400,0.700,1000,16,46.305,46.181
0.850,1.750,0.500,0.300,1000,16,46.823,46.712
0.850,1.750,0.500,0.400,1000,16,48.224,48.132
0.850,1.750,0.500,0.500,1000,16,48.132,48.040
0.850,1.750,0.500,0.600,1000,16,51.424,51.721
0.850,1.750,0.500,0.700,1000,16,47.520,47.569
0.850,1.750,0.600,0.300,1000,16,49.643,49.721
0.850,1.750,0.600,0.400,1000,16,49.018,48.992
0.850,1.750,0.600,0.500,1000,16,38.944,38.357
0.850,1.750,0.600,0.600,1000,16,46.208,46.170
0.850,1.750,0.600,0.700,1000,16,49.636,49.422
0.850,2.000,0.200,0.300,1000,16,33.995,34.206
0.850,2.000,0.200,0.400,1000,16,48.641,48.730
0.850,2.000,0.200,0.500,1000,16,47.039,46.699
0.850,2.000,0.200,0.600,1000,16,46.147,46.390
0.850,2.000,0.200,0.700,1000,16,45.676,45.718
0.850,2.000,0.300,0.300,1000,16,47.364,47.308
0.850,2.000,0.300,0.400,1000,16,51.765,51.933
0.850,2.000,0.300,0.500,1000,16,41.949,42.048
0.850,2.000,0.300,0.600,1000,16,47.249,47.172
0.850,2.000,0.300,0.700,1000,16,49.941,49.841
0.850,2.000,0.400,0.300,1000,16,43.436,43.433
0.850,2.000,0.400,0.400,1000,16,45.946,45.618
0.850,2.000,0.400,0.500,1000,16,42.469,42.571
0.850,2.000,0.400,0.600,1000,16,45.714,45.437
0.850,2.000,0.400,0.700,1000,16,41.619,41.341
0.850,2.000,0.500,0.300,1000,16,47.834,47.562
0.850,2.000,0.500,0.400,1000,16,46.415,46.514
0.850,2.000,0.500,0.500,1000,16,49.920,50.393
0.850,2.000,0.500,0.600,1000,16,45.067,44.628
0.850,2.000,0.500,0.700,1000,16,52.118,52.218
0.850,2.000,0.600,0.300,1000,16,47.940,47.967
0.850,2.000,0.600,0.400,1000,16,48.353,48.244
0.850,2.000,0.600,0.500,1000,16,47.553,47.336
0.850,2.000,0.600,0.600,1000,16,47.446,47.362
0.850,2.000,0.600,0.700,1000,16,49.896,49.798
0.850,2.250,0.200,0.300,1000,16,44.083,44.154
0.850,2.250,0.200,0.400,1000,16,45.702,45.882
0.850,2.250,0.200,0.500,1000,16,51.296,50.894
0.850,2.250,0.200,0.600,1000,16,43.463,43.647
0.850,2.250,0.200,0.700,1000,16,46.393,46.205
0.850,2.250,0.300,0.300,1000,16,49.941,50.067
0.850,2.250,0.300,0.400,1000,16,39.658,39.190
0.850,2.250,0.300,0.500,1000,16,40.403,39.792
0.850,2.250,0.300,0.600,1000,16,39.752,40.122
0.850,2.250,0.300,0.700,1000,16,48.909,48.983
0.850,2.250,0.400,0.300,1000,16,48.752,48.523
0.850,2.250,0.400,0.400,1000,16,49.546,49.749
0.850,2.250,0.400,0.500,1000,16,42.204,42.466
0.850,2.250,0.400,0.600,1000,16,45.068,45.255
0.850,2.250,0.400,0.700,1000,16,50.490,50.376
0.850,2.250,0.500,0.300,1000,16,52.744,52.638
0.850,2.250,0.500,0.400,1000,16,50.321,50.056
0.850,2.250,0.500,0.500,1000,16,51.105,50.958
0.850,2.250,0.500,0.600,1000,16,49.179,49.057
0.850,2.250,0.500,0.700,1000,16,47.332,47.084
0.850,2.250,0.600,0.300,1000,16,47.807,47.685
0.850,2.250,0.600,0.400,1000,16,44.349,44.264
0.850,2.250,0.600,0.500,1000,16,47.022,47.099
0.850,2.250,0.600,0.600,1000,16,47.237,47.051
0.850,2.250,0.600,0.700,1000,16,44.674,45.014
0.850,2.500,0.200,0.300,1000,16,44.977,45.504
0.850,2.500,0.200,0.400,1000,16,48.792,48.658
0.850,2.500,0.200,0.500,1000,16,51.922,51.863
0.850,2.500,0.200,0.600,1000,16,50.684,50.781
0.850,2.500,0.200,0.700,1000,16,47.673,47.841
0.850,2.500,0.300,0.300,1000,16,46.867,46.901
0.850,2.500,0.300,0.400,1000,16,53.087,53.070
0.850,2.500,0.300,0.500,1000,16,44.180,44.041
0.850,2.500,0.300,0.600,1000,16,48.767,48.617
0.850,2.500,0.300,0.700,1000,16,43.848,43.424
0.850,2.500,0.400,0.300,1000,16,47.505,47.263
0.850,2.500,0.400,0.400,1000,16,45.893,45.607
0.850,2.500,0.400,0.500,1000,16,45.431,45.855
0.850,2.500,0.400,0.600,1000,16,46.140,46.221
0.850,2.500,0.400,0.700,1000,16,50.687,50.655
0.850,2.500,0.500,0.300,1000,16,45.509,45.224
0.850,2.500,0.500,0.400,1000,16,51.394,51.716
0.850,2.500,0.500,0.500,1000,16,44.080,44.112
0.850,2.500,0.500,0.600,1000,16,44.273,44.238
0.850,2.500,0.500,0.700,1000,16,49.090,49.143
0.850,2.500,0.600,0.300,1000,16,48.762,48.510
0.850,2.500,0.600,0.400,1000,16,48.882,48.839
0.850,2.500,0.600,0.500,1000,16,49.226,49.645
0.850,2.500,0.600,0.600,1000,16,47.559,47.545
0.850,2.500,0.600,0.700,1000,16,45.300,45.163
0.900,1.500,0.200,0.300,1000,16,49.211,49.214
0.900,1.500,0.200,0.400,1000,16,46.996,47.215
0.900,1.500,0.200,0.500,1000,16,46.396,46.355
0.900,1.500,0.200,0.600,1000,16,55.083,54.858
0.900,1.500,0.200,0.700,1000,16,49.648,49.054
0.900,1.500,0.300,0.300,1000,16,47.558,47.793
0.900,1.500,0.300,0.400,1000,16,45.321,45.101
0.900,1.500,0.300,0.500,1000,16,46.153,46.096
0.900,1.500,0.300,0.600,1000,16,48.882,48.652
0.900,1.500,0.300,0.700,1000,16,48.025,48.141
0.900,1.500,0.400,0.300,1000,16,51.421,51.484
0.900,1.500,0.400,0.400,1000,16,46.136,46.290
0.900,1.500,0.400,0.500,1000,16,39.946,40.094
0.900,1.500,0.400,0.600,1000,16,49.922,49.913
0.900,1.500,0.400,0.700,1000,16,46.297,46.596
0.900,1.500,0.500,0.300,1000,16,51.484,51.589
0.900,1.500,0.500,0.400,1000,16,46.060,45.974
